Dimension,Total Epochs,Current Epoch,Training Accuracy,Training Time,Validation Accuracy,Validation Time
1,1,1,0.4755,3.0790727138519287,0.53375,0.16148734092712402
1,5,1,0.563,3.2267916202545166,0.575,0.18226861953735352
1,5,2,0.5945,3.2775957584381104,0.46375,0.16039323806762695
1,5,3,0.612125,3.2389862537384033,0.59,0.1683213710784912
1,5,4,0.62875,3.238823413848877,0.5825,0.17280840873718262
1,5,5,0.6425,3.23580002784729,0.62,0.17619562149047852
1,10,1,0.661875,3.2814204692840576,0.595,0.16225934028625488
1,10,2,0.65025,3.772386312484741,0.61125,0.20959019660949707
1,10,3,0.668625,3.3907971382141113,0.60375,0.16048550605773926
1,10,4,0.681,3.3447282314300537,0.57,0.14779281616210938
1,10,5,0.688375,3.3323748111724854,0.58625,0.15654730796813965
1,10,6,0.683,3.2790586948394775,0.60375,0.1673123836517334
1,10,7,0.7165,3.3280980587005615,0.53,0.15547537803649902
1,10,8,0.685375,3.377385377883911,0.60375,0.15590882301330566
1,10,9,0.712875,3.375732660293579,0.59625,0.15162014961242676
1,10,10,0.696125,3.410109519958496,0.5875,0.14556026458740234
1,25,1,0.73125,3.3762733936309814,0.58625,0.17028403282165527
1,25,2,0.7185,3.3404834270477295,0.59375,0.1557760238647461
1,25,3,0.73325,3.372877359390259,0.58875,0.17981266975402832
1,25,4,0.733125,3.3626649379730225,0.55875,0.15755486488342285
1,25,5,0.753625,3.3594541549682617,0.59375,0.21082258224487305
1,25,6,0.751,3.357121229171753,0.53375,0.1590266227722168
1,25,7,0.754125,3.3306994438171387,0.6025,0.1816239356994629
1,25,8,0.732125,3.402752161026001,0.545,0.1636340618133545
1,25,9,0.759625,3.3817100524902344,0.57125,0.16500282287597656
1,25,10,0.7495,3.419139862060547,0.53375,0.15053200721740723
1,25,11,0.776375,3.3389029502868652,0.59125,0.18569231033325195
1,25,12,0.76075,3.357940912246704,0.5875,0.14668869972229004
1,25,13,0.7975,3.4000916481018066,0.58625,0.15259480476379395
1,25,14,0.780625,3.4222962856292725,0.59875,0.14752578735351562
1,25,15,0.772375,3.3795974254608154,0.5775,0.1526165008544922
1,25,16,0.779125,3.424642324447632,0.565,0.14917993545532227
1,25,17,0.57275,3.4006733894348145,0.42125,0.1804194450378418
1,25,18,0.657625,3.505544900894165,0.5825,0.1713402271270752
1,25,19,0.807,3.483949661254883,0.58125,0.15637755393981934
1,25,20,0.7655,3.391732692718506,0.58875,0.15029144287109375
1,25,21,0.794125,3.4343924522399902,0.57875,0.15890812873840332
1,25,22,0.766875,3.412858724594116,0.57375,0.16455554962158203
1,25,23,0.809125,3.435126543045044,0.60125,0.1537458896636963
1,25,24,0.79275,3.412177085876465,0.56875,0.15235567092895508
1,25,25,0.821125,3.4701743125915527,0.5725,0.14087772369384766
5,1,1,0.509375,7.6231913566589355,0.54625,0.1670682430267334
5,5,1,0.5735,7.789001226425171,0.58625,0.16388654708862305
5,5,2,0.5915,8.004358053207397,0.6,0.20463323593139648
5,5,3,0.62025,8.033670425415039,0.5975,0.1768665313720703
5,5,4,0.622,8.121569156646729,0.6,0.19457578659057617
5,5,5,0.655,8.184919357299805,0.5975,0.15224409103393555
5,10,1,0.66475,8.163679838180542,0.6225,0.16346383094787598
5,10,2,0.68925,8.1393461227417,0.6,0.16387724876403809
5,10,3,0.6895,8.135512828826904,0.5775,0.15810751914978027
5,10,4,0.714625,8.164239406585693,0.53125,0.17195820808410645
5,10,5,0.7325,8.19961667060852,0.53875,0.15650200843811035
5,10,6,0.751375,8.197403907775879,0.58875,0.16840624809265137
5,10,7,0.769125,8.221566200256348,0.615,0.1646716594696045
5,10,8,0.763,8.157233238220215,0.62125,0.17967700958251953
5,10,9,0.798875,8.235971450805664,0.6025,0.15869593620300293
5,10,10,0.7825,8.144454717636108,0.56875,0.18413615226745605
5,25,1,0.771375,8.786243677139282,0.6125,0.17345547676086426
5,25,2,0.799625,8.263972997665405,0.61625,0.16877269744873047
5,25,3,0.82325,8.184158086776733,0.58125,0.15231728553771973
5,25,4,0.758875,8.208715677261353,0.60125,0.16893744468688965
5,25,5,0.820375,8.224013328552246,0.59625,0.1704270839691162
5,25,6,0.83725,8.167777299880981,0.59625,0.1595747470855713
5,25,7,0.805875,8.23390507698059,0.5875,0.15708160400390625
5,25,8,0.850125,8.218818426132202,0.555,0.15433430671691895
5,25,9,0.87175,8.27376651763916,0.59625,0.16603541374206543
5,25,10,0.8275,8.181447505950928,0.53625,0.1675279140472412
5,25,11,0.864125,8.283839702606201,0.59375,0.15476226806640625
5,25,12,0.876375,8.169158458709717,0.6125,0.16520166397094727
5,25,13,0.887,8.24101996421814,0.6025,0.15266180038452148
5,25,14,0.887125,8.191098690032959,0.5875,0.1810154914855957
5,25,15,0.902875,8.237932205200195,0.615,0.17708063125610352
5,25,16,0.883,8.232460737228394,0.5525,0.19285893440246582
5,25,17,0.868125,8.223615169525146,0.5825,0.1707770824432373
5,25,18,0.8705,8.233532905578613,0.5825,0.17551469802856445
5,25,19,0.903125,8.215213775634766,0.5925,0.16744327545166016
5,25,20,0.899,8.172342300415039,0.58875,0.16919183731079102
5,25,21,0.882375,8.166332483291626,0.5925,0.15486407279968262
5,25,22,0.909875,8.215816736221313,0.5725,0.17492961883544922
5,25,23,0.92475,8.174090147018433,0.5975,0.1561293601989746
5,25,24,0.9405,8.177186250686646,0.6,0.17341089248657227
5,25,25,0.883125,8.161480903625488,0.61375,0.18068504333496094
10,1,1,0.5105,11.293764352798462,0.5225,0.16246819496154785
10,5,1,0.583125,11.666827917098999,0.58375,0.1845083236694336
10,5,2,0.62475,12.086112260818481,0.60375,0.1858654022216797
10,5,3,0.62975,12.198656558990479,0.5975,0.16028976440429688
10,5,4,0.66025,12.232278823852539,0.59,0.17038536071777344
10,5,5,0.68725,12.181217432022095,0.5825,0.17115378379821777
10,10,1,0.703375,12.31202483177185,0.59375,0.16167402267456055
10,10,2,0.7225,12.27477741241455,0.595,0.19472503662109375
