Dimension,Total Epochs, Test Accuracy, Test Time
1,1,0.268125,0.14978337287902832
1,5,0.345625,0.14853930473327637
1,10,0.33375,0.155958890914917
1,25,0.3275,0.1501474380493164
5,1,0.273125,0.14838051795959473
5,5,0.33625,0.15943312644958496
5,10,0.329375,0.16888976097106934
5,25,0.338125,0.16953778266906738
10,1,0.3,0.15941715240478516
10,5,0.34625,0.16307687759399414
10,10,0.281875,0.1863722801208496
10,25,0.3425,0.15842008590698242
25,1,0.32,0.18051695823669434
25,5,0.330625,0.18898224830627441
25,10,0.33875,0.22008419036865234
25,25,0.354375,0.23564815521240234
