Dimension,Total Epochs, Test Accuracy,Test Time
1,1,0.11625,1.1859345436096191
1,5,0.11625,1.1556074619293213
1,10,0.11625,1.1926648616790771
1,25,0.11625,1.174375295639038
5,1,0.05375,1.1363675594329834
5,5,0.05375,1.1028387546539307
5,10,0.05375,1.1448116302490234
5,25,0.05375,1.1199195384979248
10,1,0.0275,1.1929786205291748
10,5,0.0275,1.1984796524047852
10,10,0.0275,1.1874184608459473
10,25,0.0275,1.1521885395050049
25,1,0.01125,1.2078814506530762
25,5,0.01125,1.1995232105255127
25,10,0.01125,1.2001590728759766
25,25,0.01125,1.2347111701965332
