Dimension,Total Epochs, Test Accuracy,Test Time
1,1,0.0325,1.1433939933776855
1,5,0.10125,1.189241647720337
1,10,0.155,1.1973555088043213
1,25,0.15375,1.1972229480743408
5,1,0.00375,1.1132168769836426
5,5,0.00625,1.1485943794250488
5,10,0.13375,1.1279873847961426
5,25,0.005,1.1155543327331543
10,1,0.05625,1.1411395072937012
10,5,0.00125,1.1273021697998047
10,10,0.00125,1.120664358139038
10,25,0.10375,1.1399660110473633
25,1,0.0625,1.202258586883545
25,5,0.06375,1.2138209342956543
25,10,0.1075,1.2199723720550537
25,25,0.0175,1.1986114978790283
